TITLE     = "Periodic hill 257x129"
VARIABLES = "x corner"
"y corner"
ZONE T="I257_J129_g3.60_a0.5"
 I=257, J=129, K=1,F=POINT
DT=(DOUBLE DOUBLE )
 -1.164150026000000E-10  2.800001038888889E-02
  6.890608665381657E-04  2.800001038888889E-02
  1.378127720899811E-03  2.800001038888890E-02
  2.067182263832826E-03  2.800001038888889E-02
  2.756257931783828E-03  2.800001038888889E-02
  3.445354214445139E-03  2.799354482118294E-02
  4.134577991301810E-03  2.796566790684130E-02
  4.823829301477135E-03  2.791918941718583E-02
  5.512844455272942E-03  2.784996431526709E-02
  6.201916403749348E-03  2.775380129915671E-02
  6.891920539719350E-03  2.762633927726312E-02
  7.581750037872790E-03  2.746354756891509E-02
  8.270541206929001E-03  2.726154994583979E-02
  8.958373407079610E-03  2.701633755676835E-02
  9.649749933310959E-03  2.672297107037770E-02
  1.033949937910295E-02  2.638561062809919E-02
  1.102755271213784E-02  2.600831923873968E-02
  1.171425452209834E-02  2.559486166059456E-02
  1.240517434488683E-02  2.514536867427059E-02
  1.309479746879441E-02  2.466693483219661E-02
  1.378316558324389E-02  2.416340508410410E-02
  1.447152093405515E-02  2.363761550011125E-02
  1.516748195013731E-02  2.308681535655628E-02
  1.586861091535469E-02  2.251572836975941E-02
  1.657355398161422E-02  2.192853398238488E-02
  1.728287243854303E-02  2.132798901635962E-02
  1.799814532827488E-02  2.071607315683609E-02
  1.871929002487266E-02  2.009631469218185E-02
  1.944479934837242E-02  1.947363934564819E-02
  2.017552048100182E-02  1.885109519975687E-02
  2.091177450153682E-02  1.823100245729551E-02
  2.165376369967797E-02  1.761317534734019E-02
  2.240094493807077E-02  1.699771079340628E-02
  2.315331004955248E-02  1.638423170784693E-02
  2.391081266774866E-02  1.577237062264646E-02
  2.467440673776063E-02  1.516093992780045E-02
  2.544349940697530E-02  1.454997770569454E-02
  2.621785874565360E-02  1.393919997651097E-02
  2.699739670934983E-02  1.332818230515955E-02
  2.778304518545065E-02  1.271568247763726E-02
  2.857472818560507E-02  1.210122740178168E-02
  2.937168878320758E-02  1.148484134046079E-02
  3.017380341449044E-02  1.086603203210215E-02
  3.098195513631800E-02  1.024427965216763E-02
  3.179656565108835E-02  9.621100066581754E-03
  3.261653685088214E-02  8.999466029180114E-03
  3.344223714699585E-02  8.381311896071622E-03
  3.427406600951244E-02  7.768652169261343E-03
  3.511187223870141E-02  7.164010386215348E-03
  3.595550921651278E-02  6.569993968055778E-03
  3.680541981527534E-02  5.988898800921160E-03
  3.766202597279884E-02  5.423175043653750E-03
  3.852393270080013E-02  4.876552721063755E-03
  3.939188052503488E-02  4.351447694840450E-03
  4.026669839369609E-02  3.850407761430646E-03
  4.114855514008439E-02  3.375688295849735E-03
  4.203602158769573E-02  2.928963099443028E-03
  4.292933219560444E-02  2.510829825280659E-03
  4.382970006271306E-02  2.121522160701604E-03
  4.473701802869871E-02  1.761957624829523E-03
  4.565065052746663E-02  1.433229938291888E-03
  4.657024898850262E-02  1.136262539137699E-03
  4.749688933648349E-02  8.715563271478859E-04
  4.843036152988033E-02  6.400789090879322E-04
  4.937040061000000E-02  4.427880663727662E-04
  5.031728375294509E-02  2.805296107383504E-04
  5.127119490700928E-02  1.542141818422372E-04
  5.223180311958923E-02  6.483096894603982E-05
  5.319863796283321E-02  1.333312715516045E-05
  5.417342609822048E-02  0.000000000000000E+00
  5.515540481691267E-02  1.734723475976807E-18
  5.614371053245451E-02  0.000000000000000E+00
  5.713847465694855E-02  1.734723475976807E-18
  5.814098517303623E-02  0.000000000000000E+00
  5.915169771963789E-02  1.734723475976807E-18
  6.016896618197499E-02  0.000000000000000E+00
  6.119284310404143E-02  1.734723475976807E-18
  6.222406425026444E-02  0.000000000000000E+00
  6.326433818896335E-02  1.734723475976807E-18
  6.431145488416706E-02  0.000000000000000E+00
  6.536540016307786E-02  1.734723475976807E-18
  6.642614642826568E-02  0.000000000000000E+00
  6.749672186398738E-02  1.734723475976807E-18
  6.857451331004141E-02  0.000000000000000E+00
  6.965934951311245E-02  1.734723475976807E-18
  7.075126190172014E-02  0.000000000000000E+00
  7.185238413656354E-02  1.734723475976807E-18
  7.296172866828053E-02  0.000000000000000E+00
  7.407832238625023E-02  1.734723475976807E-18
  7.520222524296866E-02  0.000000000000000E+00
  7.633481267468753E-02  1.734723475976807E-18
  7.747667597234380E-02  0.000000000000000E+00
  7.862600079125003E-02  1.734723475976807E-18
  7.978285523312502E-02  0.000000000000000E+00
